,x,y
0,0x4da6277b35c8de9e407e6afab5c670e674ef3063,0x49fac06f5a9ad702ee747f1d1d814226c294d9c4
1,0x03394f4d344d353b6f63020233fdce45a197ab1e,0x7b387519781e2242dac0dd8016bb6a863a2320c2
2,0xa8065a89ef60225c07a14939efc49d5d9658e101,0x77d5aba41013581c34cdb277e6ef5ca0a7a4e27d
3,0xa0a562247ab277ec241e4483df8e1ad3b9082860,0x3ba0b7856b85d3932dc0915b24169d32b1538f10
4,0x63abb8ff348beb1233e5f22589d7cd8020f5085a,0x321d31422f23de745767dac59093babe66bda7cc
5,0xc9438b2f6893607c390eb9b99872dd7cc96614d5,0x7c771bd45da231f22c6889ec70414b71713240ef
6,0xdf47b1fe9c8e374d31ee135514b69853ef866311,0x48426582ff0be2f86f014fbdc11a77dcb11304ae
7,0x7c0f01642caa8e0e765b30aa3f0e282772977637,0x7ac3ac6677d40e6787742b2241093590fa4fd130
8,0xd0049d6922282b43013be9a0f44d17d6ff3c2317,0x769d5045c551354d2ca9f985468a3c9178b50ab4
9,0xda3c62df7cd17535be2a8d79a65f40ed1f04e681,0x2b08e59014039bf479c6b692e0d1126b52337303
10,0x087d6179237fc7c1857f467ccce89e48bde70796,0xa23c082d0977951a8004d72fb1b61ba52d4785f2
11,0x7f0e3201738ff2dfd80c5f4f6bc2acda001cf1ce,0x60ef8faab1feeeb53506e063e3c246bdb0734867
12,0x2d758a14cb4c25cbad13e47310544ad41b916593,0x43b61b8e7b9e2ddc36ab1e9d41a9693bd31da0f8
13,0xc062b86f2a77a96695fbc03d007b085b624efa43,0x0c73f1af9c408a049eada2815e1d300803ca5b69
14,0x5129789fe94a5de89b249244c7c0b500a614bbfe,0x0c4d54aa6c6ff1794ee3420a6cff9759ce580ebe
15,0x92938afffa3c64b9e41f40efd67600ee1fcf1745,0x2d33ee2903e0ac3c602c420ef7b1dcb9281f25c4
16,0xd28b162106680639de76bd1d0d58238a96334531,0xab5e0a6f732edb07d118ceb56152cebc075203aa
17,0xe95c16ff8625d53e37523a4126c09d0c14a70d83,0x87ac9b0a72ad9b3c8cff5ec365a7cfb9bf85649f
18,0xcb9493c1f83bacf1b54d389640702bfb62a5994b,0x0cc065d524d5fa14a0b0d29e532ea182866c62fd
19,0x48bae8b680a306cd6c4cd592c069bd90fbb73ba1,0xa055227af733c826fea3dbca7ee336a800c8c297
20,0x14f165b8f54898f80a7cd1b68f096338e5c3dbd2,0xbbd449c1f6291f781fd6b190871efd9f2353ea87
21,0x29760c1a192136783bf2f6542325cb98bfab3030,0x51aee2c79fe8999993081149f84af2b19fe0ca7e
22,0x26d7eff374f4c11a9c03d16f25a67b53e2cc4f04,0xdab8d9c8b25175c041f327ff6c4687db673023db
